Data_da_Ocorrencia;Hora_da_Ocorrencia;Municipio;UF;Regiao;Descricao_do_Tipo;ICAO
05/04/2020;18:10:00;JUNQUEIRÓPOLIS;SP;Sudeste;INDETERMINADO;Fora de Aeródromo
03/04/2020;12:28:00;CURITIBA;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBI
06/04/2020;16:53:00;LONDRINA;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
03/04/2020;13:00:00;FRUTAL;MG;Sudeste;EXCURSÃO DE PISTA;APUA
06/04/2020;09:30:00;NOVA MUTUM;MT;Centro-Oeste;OPERAÇÃO A BAIXA ALTITUDE;Fora de Aeródromo
23/03/2020;13:00:00;UBERLÂNDIA;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
01/04/2020;20:30:00;SÃO VICENTE;SP;Sudeste;OUTROS;Fora de Aeródromo
01/04/2020;20:01:00;ITAÍ;SP;Sudeste;PERDA DE CONTROLE NO SOLO;APUA
01/03/2020;15:12:00;VIANA;ES;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
04/03/2020;12:04:00;MANTENA;MG;Sudeste;COLISÃO COM AVE;SWWM
03/04/2020;14:30:00;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBMT
03/04/2020;15:30:00;IMPERATRIZ;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBIZ
16/03/2020;14:40:00;GUARULHOS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
12/03/2020;12:30:00;BRAGANÇA PAULISTA;SP;Sudeste;PERDA DE CONTROLE NO SOLO;SBBP
02/03/2020;12:50:00;CAMPOS DOS GOYTACAZES;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
01/03/2020;19:40:00;SÃO LUIS;MA;Nordeste;COLISÃO COM AVE;SBSL
09/03/2020;11:51:00;IGUARAÇU;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
15/01/2020;18:13:00;SÃO PAULO;SP;Sudeste;OUTROS;SBMT
09/03/2020;11:00:00;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
09/03/2020;23:51:00;RIO DE JANEIRO;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBRJ
17/02/2020;10:44:00;CAMPINAS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
25/02/2020;13:50:00;GUARUJÁ;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
05/03/2020;20:00:00;RIO CLARO;SP;Sudeste;PERDA DE CONTROLE NO SOLO;SDRK
26/02/2020;21:00:00;FLORIANÓPOLIS;SC;Sul;CONTATO ANORMAL COM A PISTA;SBFL
04/03/2020;21:30:00;RIO DE JANEIRO;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBRJ
28/02/2020;19:30:00;Ivaté;PR;Sul;COMBUSTÍVEL;APUA
27/11/2019;22:20:00;JUIZ DE FORA;MG;Sudeste;OPERAÇÕES NO SOLO;null
12/02/2019;18:30:00;null;Indeterminado;null;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;null
12/02/2019;18:30:00;null;Indeterminado;null;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;null
27/02/2020;06:20:00;SÃO PAULO;SP;Sudeste;OPERAÇÕES NO SOLO;SBGR
17/02/2020;06:10:00;RIO DE JANEIRO;RJ;Sudeste;OPERAÇÕES NO SOLO;SBRJ
26/08/2020;17:10;GUARATINGUETÁ;SP;Sudeste;EXCURSÃO DE PISTA;SBGW
26/08/2020;17:10;GUARATINGUETÁ;SP;Sudeste;CONTATO ANORMAL COM A PISTA;SBGW
20/12/2009;20:05:00;BLUMENAU;SC;Sul;PERDA DE CONTROLE NO SOLO;null
18/05/2020;19:20:00;COARI;AM;Norte;EXCURSÃO DE PISTA;SBUY
27/08/2020;11:30;ARAQUARI;SC;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SWON
31/03/2020;20:06:00;CUIABÁ;MT;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
21/03/2020;22:51:00;Praia de Enseada - São Francisco do Sul;SC;Sul;INDETERMINADO;Aeródromo não cadastrado
01/04/2020;10:30:00;Ibirubá;RS;Sul;PERDA DE CONTROLE NO SOLO;APUA
24/03/2020;14:25:00;GUARULHOS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBGR
23/03/2020;12:45:00;CAMPINAS;SP;Sudeste;COLISÃO COM AVE;SBKP
24/03/2020;20:30:00;Alto Parnaíba;MA;Nordeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
19/03/2020;13:30:00;VILA RICA;MT;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
24/02/2020;15:25:00;NOVA ANDRADINA;MS;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SDVK
27/03/2020;18:35:00;SÃO FÉLIX DO XINGU;PA;Norte;PERDA DE CONTROLE NO SOLO;Aeródromo não cadastrado
08/03/2020;11:00:00;ARAGUAÍNA;TO;Norte;EXCURSÃO DE PISTA;SDVO
08/03/2020;11:00:00;ARAGUAÍNA;TO;Norte;PERDA DE CONTROLE NO SOLO;SDVO
16/03/2020;20:50:00;MACAPÁ;AP;Norte;CONTATO ANORMAL COM A PISTA;SBMQ
17/01/2020;19:00:00;CAARAPÓ;MS;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
16/12/2019;19:45:00;RIBAS DO RIO PARDO;MS;Centro-Oeste;OUTROS;null
20/03/2020;01:24:00;RECIFE;PE;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBRF
14/03/2020;14:35:00;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBSP
15/03/2020;15:19:00;BELO HORIZONTE;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBPR
16/03/2020;01:35:00;CAMPINAS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
20/03/2020;16:29:00;GUARULHOS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
16/03/2020;18:19:00;JACAREACANGA;PA;Norte;CONTATO ANORMAL COM A PISTA;Aeródromo não cadastrado
09/03/2020;12:30:00;ITÁPOLIS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
18/03/2020;14:00:00;GARUVA;SC;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
07/03/2020;09:00:00;VILHENA;RO;Norte;INCURSÃO EM PISTA;SNIZ
13/03/2020;10:00:00;QUERÊNCIA;MT;Centro-Oeste;PERDA DE CONTROLE EM VOO;Fora de Aeródromo
27/01/2020;12:28:00;RIO DE JANEIRO;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBGL
03/03/2020;18:25:00;BELO HORIZONTE;MG;Sudeste;CONTATO ANORMAL COM A PISTA;SBBH
13/03/2020;08:30:00;TEFÉ;AM;Norte;INDETERMINADO;SBTF
19/01/2020;09:10:00;PARÁ DE MINAS;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SNPA
10/03/2020;16:30:00;BAURU;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
18/03/2020;11:00:00;PARÁ DE MINAS;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SNPA
10/03/2020;10:28:00;RIO DE JANEIRO;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
09/03/2020;19:50:00;TABOÃO DA SERRA;SP;Sudeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;Aeródromo não cadastrado
13/03/2020;21:50:00;CAXIAS DO SUL;RS;Sul;OUTROS;Aeródromo não cadastrado
18/10/1997;05:45:00;Itabapoana;ES;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
28/11/1989;14:00:00;São Pedro;SP;Sudeste;VOO CONTROLADO CONTRA O TERRENO;null
16/01/1997;10:44:00;Santana de Parnaíba;SP;Sudeste;PERDA DE CONTROLE EM VOO;null
18/09/1998;13:50:00;Nova Cantu;PR;Sul;PERDA DE CONTROLE EM VOO;null
15/05/1998;01:10:00;Santana do Parnaíba;SP;Sudeste;VOO CONTROLADO CONTRA O TERRENO;null
03/06/1998;07:25:00;COARI;AM;Norte;PERDA DE CONTROLE NO SOLO;null
18/05/2020;19:20:00;COARI;AM;Norte;OUTROS;SBUY
25/07/1998;12:00:00;IPATINGA;SP;Sudeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;null
08/04/2001;11:54:00;FORTALEZA;CE;Nordeste;OUTROS;null
14/02/1997;11:33:00;PARAUAPEBAS;PA;Norte;PERDA DE CONTROLE NO SOLO;null
18/05/2020;20:00:00;VARGINHA;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
15/05/2020;21:35:00;SÃO BENEDITO;CE;Nordeste;INDETERMINADO;Fora de Aeródromo
18/05/2020;19:00:00;RECIFE;PE;Nordeste;COLISÃO COM AVE;SBRF
03/02/2020;00:00:00;PONTES E LACERDA;MT;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;APUA
14/05/2020;21:40:00;VOTUPORANGA;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SDVG
13/05/2020;15:00:00;CAÇU;GO;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;APUA
15/05/2020;11:40:00;Ilhota;SC;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;APUA
16/05/2020;21:50:00;LÁBREA;AM;Norte;EXCURSÃO DE PISTA;SWLB
15/05/2020;09:40:00;IVINHEMA;MS;Centro-Oeste;COLISÃO NO SOLO;APUA
24/06/2007;02:47:00;SÃO PAULO;SP;Sudeste;COLISÃO NO SOLO;null
13/05/2020;13:18:00;LONDRINA;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBLO
24/09/2009;13:52:00;RIO DE JANEIRO;RJ;Sudeste;null;null
11/05/2020;12:05:00;BREVES;PA;Norte;MANOBRA ABRUPTA;Fora de Aeródromo
11/05/2020;14:25:00;GOIÂNIA;GO;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBNV
24/06/2007;02:47:00;SÃO PAULO;SP;Sudeste;COLISÃO NO SOLO;null
18/05/2009;13:10:00;ARACAJU;SE;Nordeste;null;null
28/11/2007;14:56:00;JUAZEIRO DO NORTE;CE;Nordeste;null;null
24/10/2003;10:00:00;PRAIA GRANDE;SP;Sudeste;null;null
07/11/2009;20:15:00;PIRASSUNUNGA;SP;Sudeste;PERDA DE CONTROLE NO SOLO;null
12/12/2009;19:20:00;VÁRZEA GRANDE;MT;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
26/12/2009;19:11:00;SALVADOR;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
07/10/2009;20:05:00;SÃO GABRIEL DA CACHOEIRA;AM;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
26/08/2009;18:00:00;SÃO PAULO;SP;Sudeste;COLISÃO NO SOLO;null
04/04/2009;14:02:00;MACAÉ;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
03/04/2009;11:10:00;JOÃO PESSOA;PB;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
14/06/2009;20:20:00;CANELA;RS;Sul;PERDA DE CONTROLE NO SOLO;null
08/04/2009;13:47:00;SANTARÉM;PA;Norte;EXCURSÃO DE PISTA;null
08/04/2009;13:47:00;SANTARÉM;PA;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
20/03/2009;19:55:00;ÁGUA BRANCA;PI;Nordeste;OUTROS;null
07/01/2009;14:00:00;MATA DE SÃO JOÃO;BA;Nordeste;PERDA DE CONTROLE NO SOLO;null
16/03/2009;19:30:00;ITAITUBA;PA;Norte;COLISÃO NO SOLO;null
29/12/2008;20:30:00;VERA CRUZ;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
27/12/2008;20:00:00;CAIRU;BA;Nordeste;EXCURSÃO DE PISTA;null
04/02/2009;15:25:00;SÃO LUÍS;MA;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
04/02/2009;15:25:00;SÃO LUÍS;MA;Nordeste;EXCURSÃO DE PISTA;null
27/12/2008;20:00:00;CAIRU;BA;Nordeste;EXCURSÃO DE PISTA;null
27/11/2008;12:15:00;FLORIANÓPOLIS;SC;Sul;PERDA DE CONTROLE EM VOO;null
05/12/2008;09:55:00;BRASÍLIA;DF;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
22/10/2008;14:05:00;SALES;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
10/10/2008;19:15:00;BRASÍLIA;DF;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
11/07/2008;13:13:00;CAMPOS DOS GOYTACAZES;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
11/07/2008;18:18:00;GUARULHOS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
02/02/2008;13:35:00;CAAPIRANGA;AM;Norte;FOGO/FUMAÇA;null
17/12/2007;19:27:00;NATAL;RN;Nordeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
20/06/2008;23:32:00;FORTALEZA;CE;Nordeste;EXCURSÃO DE PISTA;null
20/06/2008;23:32:00;FORTALEZA;CE;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
03/04/2008;18:30:00;RIO DE JANEIRO;RJ;Sudeste;COMBUSTÍVEL;null
29/07/2007;22:30:00;ILHÉUS;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
21/04/2007;08:55:00;FORTALEZA;CE;Nordeste;EXCURSÃO DE PISTA;null
21/04/2007;08:55:00;FORTALEZA;CE;Nordeste;EXCURSÃO DE PISTA;null
15/01/2007;20:00:00;IRECÊ;BA;Nordeste;CONTATO ANORMAL COM A PISTA;null
11/05/2020;15:43:00;CAMPINAS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBKP
22/03/2006;19:35:00;SÃO PAULO;SP;Sudeste;EXCURSÃO DE PISTA;null
22/03/2006;19:35:00;SÃO PAULO;SP;Sudeste;PERDA DE CONTROLE NO SOLO;null
20/01/2006;00:45:00;SÃO PAULO;SP;Sudeste;FOGO/FUMAÇA;null
01/05/2018;20:45;UBATUBA;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SDUB
27/09/2020;22:39;BRASÍLIA;DF;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBR
22/11/2005;01:20:00;PIRACICABA;SP;Sudeste;COLISÃO COM AVE;null
06/05/2020;09:35:00;PORTO ALEGRE;RS;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
05/05/2020;19:55:00;LONDRINA;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBLO
05/05/2020;20:46:00;FORTALEZA;CE;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBFZ
02/05/2020;20:30:00;GOIÂNIA;GO;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBNV
14/09/2013;14:53:00;JARDIM;MS;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
13/09/2013;14:15:00;BANANEIRAS;PB;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
21/04/2020;18:00:00;JAGUARÉ;ES;Sudeste;MANOBRA ABRUPTA;Fora de Aeródromo
21/04/2020;18:00:00;JAGUARÉ;ES;Sudeste;PERDA DE CONTROLE EM VOO;Fora de Aeródromo
30/04/2020;22:51:00;BAURU;SP;Sudeste;COLISÃO COM AVE;SBBU
26/12/2013;19:00:00;ROSÁRIO DO SUL;RS;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
18/12/2013;12:45:00;TAPURAH;MT;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
30/04/2020;22:51:00;BAURU;SP;Sudeste;EXCURSÃO DE PISTA;SBBU
18/04/2020;20:00:00;BIRIGUI;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
23/04/2020;23:22:00;BELÉM;PA;Norte;AERÓDROMO;SBBE
01/05/2020;14:40:00;BLUMENAU;SC;Sul;PERDA DE CONTROLE NO SOLO;SSBL
24/04/2020;17:41:00;RIBEIRÃO PRETO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBRP
17/04/2020;20:50:00;LONDRINA;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
21/04/2020;15:00:00;COLÍDER;MT;Centro-Oeste;INDETERMINADO;Fora de Aeródromo
29/04/2020;07:30:00;Itaperuna;ES;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
16/09/2013;01:54:00;UBERABA;MG;Sudeste;OUTROS;null
16/09/2013;01:21:00;GUARULHOS;SP;Sudeste;null;null
04/02/2000;null;null;AC;Norte;null;null
03/02/2000;null;null;RR;Norte;null;null
02/02/2000;null;null;CE;Nordeste;null;null
06/01/2000;null;null;MT;Centro-Oeste;null;null
05/01/2000;null;null;SP;Sudeste;null;null
31/01/2000;null;null;AM;Norte;null;null
27/01/2000;null;null;MS;Centro-Oeste;null;null
26/01/2000;null;null;SC;Sul;null;null
21/01/2000;null;null;SP;Sudeste;null;null
18/01/2000;null;null;SP;Sudeste;null;null
05/01/2000;null;null;MT;Centro-Oeste;null;null
02/01/2000;null;null;RS;Sul;null;null
01/01/2000;null;null;DF;Centro-Oeste;null;null
22/12/1999;null;null;TO;Norte;null;null
21/12/1999;null;null;SP;Sudeste;null;null
15/12/1999;null;null;SP;Sudeste;null;null
08/12/1999;null;null;PB;Nordeste;null;null
28/11/1999;null;null;Indeterminado;null;null;null
21/11/1999;null;null;Indeterminado;null;null;null
19/11/1999;null;null;Indeterminado;null;null;null
20/12/2013;14:35:00;SÃO JOSÉ DOS CAMPOS;SP;Sudeste;PERDA DE CONTROLE NO SOLO;null
02/12/2013;23:27:00;RIO DE JANEIRO;RJ;Sudeste;OUTROS;null
13/12/2013;12:00:00;PRIMAVERA DO LESTE;MT;Centro-Oeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;null
18/12/2013;09:55:00;SANTO ANTÔNIO DE LEVERGER;MT;Centro-Oeste;EXCURSÃO DE PISTA;null
18/12/2013;09:55:00;SANTO ANTÔNIO DE LEVERGER;MT;Centro-Oeste;PERDA DE CONTROLE NO SOLO;null
30/12/2013;11:35:00;CARAZINHO;RS;Sul;PERDA DE CONTROLE NO SOLO;null
29/12/2013;20:00:00;CANDEIAS DO JAMARI;RO;Norte;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;null
18/11/1999;null;null;Indeterminado;null;null;null
05/11/1999;null;null;Indeterminado;null;null;null
21/10/1999;null;null;Indeterminado;null;null;null
05/10/1999;null;null;Indeterminado;null;null;null
27/09/1999;null;null;Indeterminado;null;null;null
26/09/1999;null;null;Indeterminado;null;null;null
30/01/2014;11:39:00;GOIÂNIA;GO;Centro-Oeste;OUTROS;null
30/01/2014;20:50:00;RIO BRANCO;AC;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
21/01/2014;20:10:00;CAMPO GRANDE;MS;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
01/06/1999;null;null;Indeterminado;null;null;null
06/09/2013;13:10:00;GOIÂNIA;GO;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
21/05/1999;null;null;Indeterminado;null;null;null
19/05/1999;null;null;Indeterminado;null;null;null
25/04/2013;22:15:00;RIO DE JANEIRO;RJ;Sudeste;null;null
24/03/2013;19:00:00;CORUMBÁ;MS;Centro-Oeste;null;null
04/06/2013;19:20:00;CAMPOS DOS GOYTACAZES;RJ;Sudeste;OUTROS;null
12/05/1999;null;null;Indeterminado;null;null;null
04/06/2013;17:31:00;SÃO PAULO;SP;Sudeste;null;null
04/06/2013;16:23:00;GUARULHOS;SP;Sudeste;OUTROS;null
03/06/2013;23:13:00;GUARULHOS;SP;Sudeste;MÉDICO;null
01/06/2013;20:20:00;ATIBAIA;SP;Sudeste;CONTATO ANORMAL COM A PISTA;null
10/05/1999;null;null;Indeterminado;null;null;null
08/05/1999;null;null;Indeterminado;null;null;null
14/04/1999;null;null;Indeterminado;null;null;null
10/09/2013;08:40:00;JOÃO PESSOA;PB;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
20/09/2013;13:45:00;CALDAS NOVAS;GO;Centro-Oeste;COMBUSTÍVEL;null
25/11/2011;10:35:00;SAO PAULO;SP;Sudeste;COLISÃO NO SOLO;SBMT
08/09/2013;23:49:00;CAMPINAS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
06/09/2013;15:05:00;VÁRZEA GRANDE;MT;Centro-Oeste;COLISÃO NO SOLO;null
13/09/2013;13:15:00;MARINGÁ;PR;Sul;PERDA DE CONTROLE NO SOLO;null
11/09/2013;12:40:00;VALENÇA;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
23/09/2013;19:35:00;MARABÁ;PA;Norte;OUTROS;null
25/11/2011;10:35:00;SAO PAULO;SP;Sudeste;COLISÃO NO SOLO;SBMT
25/11/2011;15:20:00;MANAUS;AM;Norte;null;null
13/10/2013;13:50:00;RIO DE JANEIRO;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
13/10/2013;19:00:00;PORTO ALEGRE;RS;Sul;null;null
12/10/2013;12:25:00;VARGINHA;MG;Sudeste;CONTATO ANORMAL COM A PISTA;null
07/04/1999;null;null;Indeterminado;null;null;null
30/03/1999;null;null;Indeterminado;null;null;null
12/10/2013;10:25:00;FORTALEZA;CE;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
12/10/2013;18:40:00;COTEGIPE;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
15/08/1999;null;null;Indeterminado;null;null;null
12/10/2013;18:00:00;VENDA NOVA DO IMIGRANTE;ES;Sudeste;PERDA DE CONTROLE EM VOO;null
16/01/2014;17:15:00;BELÉM;PA;Norte;COLISÃO COM AVE;null
26/01/2014;18:40:00;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
19/09/1999;null;null;Indeterminado;null;null;null
18/09/1999;null;null;Indeterminado;null;null;null
24/09/1999;null;null;Indeterminado;null;null;null
14/09/1999;null;null;Indeterminado;null;null;null
09/09/1999;null;null;Indeterminado;null;null;null
04/09/1999;null;null;Indeterminado;null;null;null
01/09/1999;null;null;Indeterminado;null;null;null
10/09/2013;23:30:00;PARINTINS;AM;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
01/09/2013;17:58:00;LONDRINA;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
01/09/2013;18:30:00;PIRAI DO SUL;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
13/08/1999;null;null;Indeterminado;null;null;null
23/01/2014;09:50:00;RECIFE;PE;Nordeste;OUTROS;null
14/09/2013;18:41:00;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
21/02/2013;10:30:00;VILA PROPÍCIO;GO;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
14/09/2013;14:15:00;LONDRINA;PR;Sul;null;null
12/09/2013;12:30:00;RIO DE JANEIRO;RJ;Sudeste;null;null
10/08/1999;null;null;Indeterminado;null;null;null
04/08/1999;null;null;Indeterminado;null;null;null
11/09/2013;17:10:00;MARICÁ;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
11/09/2013;12:00:00;LONDRINA;PR;Sul;null;null
20/07/1999;null;null;Indeterminado;null;null;null
09/09/2013;18:10:00;LONDRINA;PR;Sul;null;null
27/07/2013;19:00:00;PEDRO JUAN CABALLERO;Exterior;null;FALHA OU MAU FUNCIONAMENTO DO MOTOR;null
09/09/2013;14:30:00;CABROBÓ;PE;Nordeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;null
08/09/2013;18:00:00;UBERLÂNDIA;MG;Sudeste;PERDA DE CONTROLE NO SOLO;null
06/09/2013;04:06:00;MANAUS;AM;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
09/01/2015;20:00:00;SÃO JOSÉ DO RIO PRETO;SP;Sudeste;null;null
25/07/2013;20:00:00;NOVA INDEPENDÊNCIA;SP;Sudeste;PERDA DE CONTROLE NO SOLO;null
25/07/2013;19:30:00;LAGOA DA CONFUSÃO;TO;Norte;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;null
25/07/2013;13:00:00;BELO HORIZONTE;MG;Sudeste;null;null
25/07/2013;08:40:00;SOROCABA;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;null
27/06/1999;null;null;Indeterminado;null;null;null
26/01/2004;null;null;MT;Centro-Oeste;null;null
26/12/2014;13:50:00;SÃO JOSÉ DOS CAMPOS;SP;Sudeste;PERDA DE CONTROLE EM VOO;null
29/04/2013;03:01:00;FORTALEZA;CE;Nordeste;null;null
22/03/2013;00:16:00;BRASÍLIA;DF;Centro-Oeste;null;null
16/05/2013;14:00:00;GOIANIA;GO;Centro-Oeste;OUTROS;SBGO
28/06/1999;null;null;Indeterminado;null;null;null
13/07/1999;null;null;Indeterminado;null;null;null
10/06/1999;null;null;Indeterminado;null;null;null
29/01/2004;null;null;Indeterminado;null;null;null
